2.09	-30	0.89927162309474
2.09	-29.5	0.90433217227574
2.09	-29	0.90570194219674
2.09	-28.5	0.90335900393595
2.09	-28	0.89732704202915
2.09	-27.5	0.88767497383885
2.09	-27	0.87451564405298
2.09	-26.5	0.85800362872344
2.09	-26	0.83833220857776
2.09	-25.5	0.81572959457606
2.09	-25	0.79045450899925
2.09	-24.5	0.7627912420322
2.09	-24	0.73304431628914
2.09	-23.5	0.70153289964318
2.09	-23	0.66858510988129
2.09	-22.5	0.63453235312612
2.09	-22	0.59970383184924
2.09	-21.5	0.56442134802933
2.09	-21	0.52899451311855
2.09	-20.5	0.49371645962866
2.09	-20	0.45886013008688
2.09	-19.5	0.424675198639
2.09	-19	0.39138565951221
2.09	-18.5	0.35918809568547
2.09	-18	0.32825062118936
2.09	-17.5	0.29871247212377
2.09	-17	0.27068420528589
2.09	-16.5	0.24424844966299
2.09	-16	0.21946114525307
2.09	-15.5	0.19635319588099
2.09	-15	0.17493245790027
2.09	-14.5	0.15518598480774
2.09	-14	0.13708244864449
2.09	-13.5	0.12057466231604
2.09	-13	0.1056021322779
2.09	-12.5	0.092093577995756
2.09	-12	0.079969362776341
2.09	-11.5	0.06914378954987
2.09	-11	0.059527224558335
2.09	-10.5	0.051028021291076
2.09	-10	0.043554226079112
2.09	-9.5	0.037015055236881
2.09	-9	0.031322141306636
2.09	-8.5	0.026390552659873
2.09	-8	0.022139596343471
2.09	-7.5	0.018493418582349
2.09	-7	0.015381420770727
2.09	-6.5	0.01273851114743
2.09	-6	0.010505213737352
2.09	-5.5	0.0086276566569984
2.09	-5	0.007057461649837
2.09	-4.5	0.0057515558703347
2.09	-4	0.0046719256108405
2.09	-3.5	0.003785329997953
2.09	-3	0.0030629908028385
2.09	-2.5	0.0024802725304318
2.09	-2	0.002016364977882
2.09	-1.5	0.0016539785670017
2.09	-1	0.0013790610212199
2.09	-0.5	0.0011805424128517
2.09	0	0.0010501142639758
2.09	0.5	0.00098204723104524
2.09	1	0.0009730509039904
2.09	1.5	0.0010221783520122
2.09	2	0.00113077718818
2.09	2.5	0.0013024880416175
2.09	3	0.0015432903688558
2.09	3.5	0.0018615944742991
2.09	4	0.0022683774384974
2.09	4.5	0.002777359392264
2.09	5	0.0034052152641912
2.09	5.5	0.0041718158167848
2.09	6	0.0051004905149931
2.09	6.5	0.0062183035654426
2.09	7	0.0075563333252362
2.09	7.5	0.0091499441813401
2.09	8	0.011039038906133
2.09	8.5	0.013268278364236
2.09	9	0.015887254264433
2.09	9.5	0.018950599441357
2.09	10	0.0225180189858
2.09	10.5	0.0266542245388
2.09	11	0.031428753376887
2.09	11.5	0.036915653714485
2.09	12	0.043193018099063
2.09	12.5	0.050342348015336
2.09	13	0.05844773494954
2.09	13.5	0.067594846254096
2.09	14	0.077869708215548
2.09	14.5	0.089357283744755
2.09	15	0.10213984802243
2.09	15.5	0.11629517215402
2.09	16	0.13189453228638
2.09	16.5	0.14900056954317
2.09	17	0.1676650343296
2.09	17.5	0.18792645677752
2.09	18	0.20980779304359
2.09	18.5	0.2333141044969
2.09	19	0.25843033317624
2.09	19.5	0.28511924188942
2.09	20	0.31331959060879
2.09	20.5	0.34294462205359
2.09	21	0.37388092825609
2.09	21.5	0.40598776626407
2.09	22	0.43909688480103
2.09	22.5	0.47301291465002
2.09	23	0.50751436382126
2.09	23.5	0.54235524440007
2.09	24	0.57726734166497
2.09	24.5	0.61196311804778
2.09	25	0.64613922531843
2.09	25.5	0.67948057865163
2.09	26	0.71166492667163
2.09	26.5	0.74236783292498
2.09	27	0.77126796725621
2.09	27.5	0.79805259099669
2.09	28	0.82242310840248
2.09	28.5	0.84410054898125
2.09	29	0.86283084169747
2.09	29.5	0.87838974285452
2.09	30	0.89058728486488
